timestamp,weekday,hour,direction,line
2026-06-10T08:15:00+02:00,Mi,08,Praterstern,S2
2026-06-10T08:30:00+02:00,Mi,08,Praterstern,S1
2026-06-10T08:42:00+02:00,Mi,08,Praterstern,S1
2026-06-10T09:00:00+02:00,Mi,09,Praterstern,REX1
2026-06-10T10:30:00+02:00,Mi,10,Praterstern,REX1
2026-06-10T11:29:00+02:00,Mi,11,Meidling,REX1
2026-06-10T13:39:00+02:00,Mi,13,Meidling,REX3
2026-06-10T13:50:00+02:00,Mi,13,Praterstern,REX3
2026-06-10T15:09:00+02:00,Mi,15,Meidling,REX3
2026-06-10T15:59:00+02:00,Mi,15,Meidling,REX1
